smiles,0,1
C#Cc1cc(=N)n2[nH]c(C)ncc1-2,1024,"{3: 1, 6: 1, 8: 1, 9: 1, 50: 1, 63: 1, 64: 1, 68: 1, 77: 1, 79: 1, 82: 1, 83: 1, 86: 1, 87: 1, 98: 1, 99: 1, 105: 1, 116: 1, 122: 1, 123: 1, 133: 1, 140: 1, 149: 1, 169: 1, 178: 1, 191: 1, 208: 1, 217: 1, 235: 1, 246: 1, 259: 1, 265: 1, 276: 1, 278: 1, 279: 1, 282: 1, 283: 1, 290: 1, 300: 1, 312: 1, 313: 1, 314: 1, 318: 1, 319: 1, 326: 1, 336: 1, 347: 1, 348: 1, 349: 1, 383: 1, 397: 1, 402: 1, 406: 1, 416: 1, 418: 1, 438: 1, 439: 1, 454: 1, 472: 1, 474: 1, 496: 1, 502: 1, 508: 1, 515: 1, 516: 1, 526: 1, 531: 1, 532: 1, 538: 1, 540: 1, 546: 1, 551: 1, 562: 1, 592: 1, 597: 1, 600: 1, 602: 1, 603: 1, 610: 1, 635: 1, 652: 1, 658: 1, 671: 1, 675: 1, 686: 1, 687: 1, 711: 1, 712: 1, 722: 1, 739: 1, 745: 1, 780: 1, 781: 1, 790: 1, 800: 1, 822: 1, 826: 1, 834: 1, 835: 1, 847: 1, 858: 1, 867: 1, 870: 1, 871: 1, 878: 1, 880: 1, 883: 1, 887: 1, 889: 1, 902: 1, 906: 1, 907: 1, 915: 1, 924: 1, 925: 1, 929: 1, 937: 1, 940: 1, 948: 1, 958: 1, 959: 1, 960: 1, 964: 1, 972: 1, 994: 1, 995: 1, 1014: 1}"
CCC(C=NNC)=CCC(O)CC,1024,"{28: 1, 59: 1, 83: 1, 84: 1, 101: 1, 103: 1, 160: 1, 175: 1, 183: 1, 191: 1, 200: 1, 246: 1, 261: 1, 304: 1, 313: 1, 319: 1, 372: 1, 378: 1, 385: 1, 427: 1, 461: 1, 516: 1, 532: 1, 533: 1, 547: 1, 555: 1, 580: 1, 626: 1, 671: 1, 682: 1, 689: 1, 705: 1, 706: 1, 725: 1, 770: 1, 779: 1, 783: 1, 793: 1, 797: 1, 908: 1, 940: 1, 953: 1, 985: 1, 1016: 1, 1017: 1, 1019: 1}"
C1=CCON=C2N=C(C=C1)ON2,1024,"{34: 1, 46: 1, 47: 1, 48: 1, 52: 1, 58: 1, 59: 1, 67: 1, 68: 1, 81: 1, 83: 1, 88: 1, 92: 1, 100: 1, 135: 1, 151: 1, 157: 1, 166: 1, 173: 1, 182: 1, 183: 1, 191: 1, 195: 1, 199: 1, 206: 1, 209: 1, 213: 1, 218: 1, 230: 1, 232: 1, 237: 1, 238: 1, 262: 1, 263: 1, 275: 1, 277: 1, 311: 1, 318: 1, 331: 1, 343: 1, 378: 1, 391: 1, 395: 1, 405: 1, 421: 1, 424: 1, 432: 1, 444: 1, 489: 1, 492: 1, 513: 1, 516: 1, 517: 1, 522: 1, 532: 1, 535: 1, 544: 1, 550: 1, 562: 1, 591: 1, 594: 1, 620: 1, 641: 1, 671: 1, 705: 1, 706: 1, 720: 1, 748: 1, 752: 1, 758: 1, 779: 1, 797: 1, 829: 1, 833: 1, 871: 1, 890: 1, 892: 1, 908: 1, 918: 1, 930: 1, 932: 1, 944: 1, 960: 1, 965: 1, 979: 1, 1017: 1}"
CC1CC2CN=C(NO)C12CCN,1024,"{47: 1, 50: 1, 83: 1, 124: 1, 177: 1, 191: 1, 210: 1, 261: 1, 268: 1, 282: 1, 289: 1, 325: 1, 326: 1, 337: 1, 349: 1, 350: 1, 353: 1, 385: 1, 402: 1, 403: 1, 430: 1, 492: 1, 507: 1, 517: 1, 556: 1, 576: 1, 580: 1, 581: 1, 590: 1, 611: 1, 634: 1, 657: 1, 658: 1, 671: 1, 677: 1, 689: 1, 705: 1, 706: 1, 712: 1, 734: 1, 782: 1, 783: 1, 817: 1, 827: 1, 828: 1, 829: 1, 907: 1, 908: 1, 923: 1, 950: 1, 959: 1, 962: 1, 965: 1, 985: 1, 987: 1, 994: 1}"
C#CC12CCC1C(C)N(C=N)C2=C,1024,"{10: 1, 14: 1, 44: 1, 50: 1, 59: 1, 62: 1, 64: 1, 74: 1, 83: 1, 92: 1, 101: 1, 137: 1, 157: 1, 160: 1, 191: 1, 261: 1, 277: 1, 280: 1, 325: 1, 349: 1, 356: 1, 385: 1, 394: 1, 416: 1, 430: 1, 464: 1, 495: 1, 507: 1, 519: 1, 533: 1, 555: 1, 581: 1, 610: 1, 641: 1, 657: 1, 671: 1, 680: 1, 694: 1, 706: 1, 712: 1, 720: 1, 725: 1, 746: 1, 765: 1, 779: 1, 798: 1, 806: 1, 810: 1, 837: 1, 873: 1, 878: 1, 887: 1, 907: 1, 928: 1, 949: 1, 985: 1, 1015: 1}"
CC(C)C(O)CC=CCCC(N)=O,1024,"{59: 1, 83: 1, 96: 1, 123: 1, 160: 1, 175: 1, 183: 1, 246: 1, 261: 1, 304: 1, 313: 1, 330: 1, 331: 1, 349: 1, 385: 1, 410: 1, 516: 1, 532: 1, 547: 1, 555: 1, 624: 1, 626: 1, 635: 1, 653: 1, 671: 1, 682: 1, 712: 1, 725: 1, 765: 1, 770: 1, 779: 1, 907: 1, 940: 1, 985: 1}"
C=NOCC12CC(C)CC(O)(C1)C2,1024,"{50: 1, 52: 1, 111: 1, 191: 1, 195: 1, 210: 1, 261: 1, 313: 1, 385: 1, 395: 1, 430: 1, 439: 1, 442: 1, 446: 1, 516: 1, 517: 1, 532: 1, 581: 1, 600: 1, 620: 1, 640: 1, 671: 1, 752: 1, 764: 1, 779: 1, 884: 1, 886: 1, 985: 1}"
C#CC(NN=C)C1CC(=O)NN1C,1024,"{4: 1, 10: 1, 16: 1, 19: 1, 25: 1, 44: 1, 66: 1, 69: 1, 83: 1, 84: 1, 92: 1, 121: 1, 124: 1, 132: 1, 191: 1, 246: 1, 261: 1, 303: 1, 304: 1, 319: 1, 330: 1, 331: 1, 349: 1, 350: 1, 356: 1, 384: 1, 385: 1, 421: 1, 422: 1, 427: 1, 443: 1, 449: 1, 541: 1, 552: 1, 553: 1, 565: 1, 574: 1, 598: 1, 600: 1, 610: 1, 624: 1, 635: 1, 636: 1, 653: 1, 657: 1, 658: 1, 671: 1, 676: 1, 677: 1, 680: 1, 693: 1, 694: 1, 712: 1, 713: 1, 715: 1, 718: 1, 762: 1, 770: 1, 783: 1, 801: 1, 817: 1, 818: 1, 823: 1, 828: 1, 846: 1, 878: 1, 887: 1, 892: 1, 907: 1, 928: 1, 935: 1, 949: 1, 985: 1, 995: 1, 1009: 1, 1010: 1}"
C=C1CCCNNC(=N)C1N(C)C,1024,"{4: 1, 10: 1, 19: 1, 28: 1, 59: 1, 83: 1, 84: 1, 102: 1, 120: 1, 121: 1, 124: 1, 157: 1, 160: 1, 191: 1, 261: 1, 277: 1, 319: 1, 320: 1, 325: 1, 326: 1, 337: 1, 349: 1, 350: 1, 371: 1, 384: 1, 385: 1, 430: 1, 437: 1, 443: 1, 457: 1, 492: 1, 552: 1, 574: 1, 593: 1, 657: 1, 660: 1, 671: 1, 676: 1, 677: 1, 689: 1, 690: 1, 694: 1, 705: 1, 706: 1, 712: 1, 715: 1, 725: 1, 762: 1, 765: 1, 779: 1, 782: 1, 817: 1, 820: 1, 907: 1, 908: 1, 935: 1, 949: 1, 966: 1, 985: 1, 995: 1, 1016: 1}"
CC12OCC1(O)C(C)(C)N(O)C2=O,1024,"{10: 1, 12: 1, 14: 1, 26: 1, 65: 1, 67: 1, 77: 1, 83: 1, 106: 1, 129: 1, 134: 1, 157: 1, 225: 1, 235: 1, 253: 1, 259: 1, 260: 1, 261: 1, 284: 1, 296: 1, 313: 1, 314: 1, 315: 1, 317: 1, 330: 1, 331: 1, 339: 1, 341: 1, 349: 1, 358: 1, 385: 1, 394: 1, 403: 1, 405: 1, 439: 1, 440: 1, 456: 1, 480: 1, 502: 1, 509: 1, 516: 1, 517: 1, 525: 1, 529: 1, 532: 1, 540: 1, 542: 1, 548: 1, 557: 1, 564: 1, 566: 1, 596: 1, 610: 1, 611: 1, 613: 1, 624: 1, 635: 1, 637: 1, 653: 1, 655: 1, 656: 1, 657: 1, 671: 1, 672: 1, 694: 1, 712: 1, 798: 1, 827: 1, 829: 1, 837: 1, 872: 1, 885: 1, 905: 1, 907: 1, 913: 1, 928: 1, 937: 1, 949: 1, 959: 1, 965: 1, 973: 1, 975: 1, 985: 1, 1009: 1, 1010: 1, 1011: 1}"
